"","x"
"1",0.188567757671233
"2",0.451662712317397
"3",0.096861498879478
"4",0.37940821457354
"5",0.104425002440593
"6",0.0204257892802467
"7",NA
"8",0.0269287616951515
"9",0.0134476184381958
"10",NA
"11",0.0279937737801793
"12",0.0223224199524179
