"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0697792261244259,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.0579165088334562,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.0573564730509642,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.0534623031042462,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0518476599292043,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.0622557133772652,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.0568758578025455,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.0692042960018249,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.0635057468947691,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0704937811121539,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0551335949934714,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0571026569713252
