"","Species","Site","Nstar","Nstar_prime","LNstar","LNstar_prime","DeltaN","DeltaLN"
"1",1,1,9.69584531877084,10.7113976993819,2.27169747610264,2.3713083800887,1.01555238061107,0.0996109039860618
"2",2,1,4.36748285953367,4.66841730697739,1.4741868384697,1.54082010781022,0.300934447443724,0.0666332693405196
"3",3,1,0.092505140663568,0.0101830057845042,-2.3804910612667,-4.58703504773776,-0.0823221348790638,-2.20654398647106
"4",4,1,3.80031425690451,5.82395915763728,1.33508376249835,1.76198029810147,2.02364490073276,0.426896535603121
"5",5,1,0.400464596043859,0.542298902076875,-0.915129915772292,-0.611937949704985,0.141834306033015,0.303191966067307
"6",6,1,0.288549466452527,0.371410943416701,-1.24288874689106,-0.990446165186098,0.0828614769641739,0.252442581704965
"7",7,1,0.184019087337618,0.256096752678161,-1.69271579122277,-1.3621999657549,0.0720776653405424,0.330515825467877
"8",8,1,0.367819849118167,0.380233674846887,-1.00016200111701,-0.966969281448427,0.0124138257287198,0.0331927196685839
"9",9,1,0.0773091287455106,0.0838972008200071,-2.55994323533542,-2.47816302935509,0.00658807207449655,0.0817802059803303
"10",10,1,0.00245813823146593,0.00333013081214258,-6.0083510320453,-5.70474369283564,0.000871992580676651,0.303607339209658
"11",11,1,0.000594502609179166,0.00193472029161481,-7.42778545297988,-6.24779251508611,0.00134021768243565,1.17999293789377
"12",12,1,0.00707889189557882,0.00948607413331891,-4.95063789544967,-4.65793043653315,0.00240718223774009,0.29270745891652
"13",1,2,5.24958690632748,5.82030992537786,1.65814938899869,1.76135351210866,0.570723019050382,0.103204123109966
"14",2,2,3.14720666200993,4.40376477989735,1.14651528545581,1.48245980687485,1.25655811788742,0.335944521419044
"15",3,2,0.047838669065628,0.0383027327973268,-3.03992099026129,-3.26223403293038,-0.00953593626830122,-0.222313042669087
"16",4,2,3.74295519794458,4.40085101845451,1.3198754592927,1.48179793550739,0.65789582050993,0.161922476214691
"17",5,2,0.3811679223828,0.431853801447078,-0.964515259791088,-0.839668170592079,0.0506858790642776,0.124847089199009
"18",6,2,0.122783253658721,0.13811451592936,-2.09733464342577,-1.97967211236475,0.0153312622706388,0.11766253106102
"19",7,2,0.0661718218654681,0.0691750897886404,-2.71550055823355,-2.67111445531736,0.00300326792317225,0.0443861029161972
"20",8,2,0.118581947935197,0.132554158261687,-2.13215101365622,-2.02076397547031,0.0139722103264904,0.111387038185905
"21",9,2,0.0518155694494686,0.0512526262422668,-2.96006460635581,-2.97098841852499,-0.000562943207201801,-0.0109238121691795
"22",10,2,0.00859929569092494,0.00972893345618524,-4.75607497548045,-4.63265100275062,0.00112963776526031,0.123423972729822
