"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.412307182810963,0,0.163343499065412,0,0,0,0,0,0,0,0,0
"2",0,0.0157123983329721,0,0,0,0,0,0.131208362395132,0,0,0,0
"3",0.110830994928254,0,0.973815285497387,0,0.0531350523183957,0.0498370754737494,0,0,0,0,0,0
"4",0,0,0,0.195095190814496,0.0658800654514784,0.0452963446320308,0.0499727038681874,0,0,0,0,0
"5",0,0,0.0777981338041924,0.391173981696557,0.951986987192611,0,0,0,0.170769041245585,0.00996926453922584,0.151977159358524,0
"6",0,0,0.165507399448269,0.526864162835976,0,0.866124642642734,0,0,0,0,0,0.225905247459449
"7",0,0,0,0.136447013177285,0,0,0.899011655427288,0,0,0,0,0.0522179771022978
"8",0,0.432809309963392,0,0,0,0,0,0.960225093149715,0,0,0,0.0311768251730848
"9",0,0,0,0,0.229762389080752,0,0,0,0.993478918404517,-0.00304921404955513,0,0
"10",0,0,0,0,0.22926727328258,0,0,0,0.0410339176700936,0.983165921025168,0,0
"11",0,0,0,0,0.141818638740579,0,0,0,0,0,0.997957805625494,0
"12",0,0,0,0,0,0.174640301844825,0.14849291482128,0.152780036153122,0,0,0,1.03934422508455
