"","x"
"1",0.38789942928278
"2",0.338320616246378
"3",NA
"4",0.371370469407846
"5",-0.035279451611139
"6",-0.0878887696360544
"7",-0.0859517330114454
"8",NA
"9",-0.0855476564983562
"10",-0.022736759635632
"11",-0.02385874964461
"12",-0.0403006928476375
