"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.334677680395544,0,-0.0407982751727104,0,0,0,0,0,0,0,0,0
"2",0,-0.214205361390486,0,0,0,0,0,-0.18256003963761,0,0,0,0
"3",0.00407982751727104,0,-0.36245532585308,0,-0.0551412858534604,-0.0682761709205806,0,0,0,0,0,0
"4",0,0,0,-0.274850661028177,-0.137009166041389,-0.137889426900074,-0.179217300983146,0,0,0,0,0
"5",0,0,0.00551412858534604,0.0137009166041389,-0.317553636571392,0,0,0,-0.0227486445568502,-0.0177198124118149,-0.1700901044067,0
"6",0,0,0.00682761709205806,0.0137889426900074,0,-0.399947407562286,0,0,0,0,0,-0.0811686713248491
"7",0,0,0,0.0179217300983146,0,0,-0.310109309758991,0,0,0,0,-0.0388829001691192
"8",0,0.018256003963761,0,0,0,0,0,-0.29997676438652,0,0,0,-0.0382006437983364
"9",0,0,0,0,0.00227486445568502,0,0,0,-0.338845487171784,-0.144419356621802,0,0
"10",0,0,0,0,0.00177198124118149,0,0,0,0.0144419356621802,-0.836590273911133,0,0
"11",0,0,0,0,0.01700901044067,0,0,0,0,0,-0.959609562903643,0
"12",0,0,0,0,0,0.00811686713248491,0.00388829001691192,0.00382006437983364,0,0,0,-0.893496838770807
