"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0919705145781593,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.092394942662366,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.0917449435568208,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.0896358523514027,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0915196866364471,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.0854913184411379,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.0908844435632405,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.0928863954065351,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.0848287972506655,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0843010435011771,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0901973888218619,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0918758041943317
