"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0871911793597345,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.0844369155113194,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.0906533415255537,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.0912054691213391,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0855469660783962,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.0900634926182338,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.0918803545835491,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.0969714421291103,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.0840423642767288,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0907359267127097,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0842456322781037,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0962917644713638
