"","raw_correl","signif_correl","diag_correl","upperD_correl","lowerD_correl","nonDiag_correl"
"1",0.894892156379521,0.929261481892788,0.972080373220336,0.154393429918464,0.0554096441468306,0.107906161048683
"2",0.895150097412223,0.935779822629546,0.969022557386782,0.389047391518345,-0.00189708513022324,0.222780538402013
"3",0.884362885942782,0.922758880176091,0.941132157857406,-0.0147964723854356,-0.0308948990513185,-0.0234552411786864
"4",0.915304875152881,0.949692389228627,0.975885247025212,0.0226971053345933,0.202080479530738,0.120160535973878
"5",0.916319583280882,0.962228302212956,0.983471511126175,0.126877457062134,-0.00142998777836206,0.0607925058064599
"6",0.909664106623984,0.943353443067387,0.967187062773467,0.0541748711042008,-6.5615540131556e-05,0.0234712494271394
"7",0.909883717423404,0.932149056620146,0.980985946782672,0.00572024554594524,0.222985956694628,0.138121651944162
"8",0.916618717444127,0.946817672249287,0.979112711958541,0.206392296039593,0.135195016028284,0.165038603623118
"9",0.928136685306155,0.962086979852432,0.990580200544628,0.0512308993669057,0.000895188848071958,0.0233214041324746
"10",0.943291540016044,0.974990649629743,0.989132188302981,0.212026381459049,0.00242663659411575,0.0682825362642603
"11",0.92595107401271,0.967802812418672,0.966783086795567,0.072659997123083,0.00103064096145298,0.0381233178176391
"12",0.910009676255992,0.948804298877603,0.953982052089731,0.131969691050441,-0.059412021048404,0.0153022471562024
"13",0.918806458806784,0.956585864598439,0.969682582486274,-0.00392425713325701,0.159040870510252,0.0983380481417213
"14",0.914419516217573,0.946469146812567,0.971601893278602,0.350008745394497,0.309549200457912,0.321503969839159
"15",0.923486031155239,0.951348303833935,0.975183623466726,0.436731086546072,-7.74699030146639e-05,0.202406049943076
"16",0.931623792401782,0.965561084089077,0.971715299933466,0.000398208535269086,-0.000838536194972872,-0.00266443570205467
"17",0.931851497942748,0.96469791843595,0.988629844593404,0.203867720849194,0.0065946784804571,0.131820858848692
"18",0.902050453814112,0.943405651721156,0.981947940259106,0.232147159708628,0.153321255528643,0.186528415175899
"19",0.901972678402439,0.931374736071015,0.953971562949368,-0.231971526643975,-0.0100328845289581,-0.124530575806108
"20",0.8812230519907,0.93274767707739,0.951614789343526,0.176427942151694,0.222847173732748,0.204956225781127
"21",0.923004988221274,0.96538543207364,0.974918848548348,0.279924966595478,-0.151586527022158,0.0411286669969911
"22",0.89864352139905,0.933795678644383,0.969120392749145,-0.0542514122849707,0.129622685468869,0.0556361948244413
"23",0.923462737958831,0.957503175124285,0.970967217648502,-0.000956458758918123,0.332297956371659,0.21431680803598
"24",0.879962760177109,0.924404610223595,0.944909696077679,0.428118626212909,0.0274036243434047,0.190457667046291
"25",0.896361025085082,0.929757214491883,0.971423199529434,-0.000256306821473566,0.0011000063909017,0.00317799249122773
