"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.583768165826096,-0.14506964937253,-0.102769091537987,-0.148591830192329,NA,-0.107997385534667,NA,-0.0163512138533446,-0.0496589703393011,-0.00870871491373248,-0.00754613175753791,-0.0274244829369726
"2",-0.0310035272408089,-0.0952620285580808,NA,NA,-0.0490014592451679,-0.000220652784543598,NA,-0.0528314009777179,-0.0406265719993574,-0.0191622079593471,-0.00969695252840343,-0.00453151768173453
"3",0.0681116946345166,-0.106533093770307,0.844120923292335,-0.0395268157634709,-0.0234202995162253,-0.0448168995588956,-0.018401445527235,-0.0132226034410717,-0.0273432616479972,-0.000819656237729024,-0.0084008611053747,-0.0106058784534897
"4",-0.0118947140870948,-0.0381775112133499,-0.00573605187208247,0.0854906097070282,-0.0712557894880664,-0.0753442757616939,-0.0814688899658797,-0.0116866987891624,-0.0337902775802849,NA,-0.00195274705577403,-0.00632604317547722
"5",-0.00112289592963961,-0.120349651820056,-0.059882274898882,-0.0113544604271721,0.887236567567343,-0.0069594956492639,-0.0107503314445859,-0.0122618368088159,-0.0365616238717393,-0.00922724810689566,-0.00978296762755299,NA
"6",-0.0683450460551979,-0.0407636266396804,NA,NA,0.00854271030939206,0.855287204848989,-0.0139243704622213,-0.0110863806542142,-0.011177780993638,-0.0226116103226349,0.00100228765559153,-0.00621863339412462
"7",NA,-0.023001273738908,-0.00145632834305941,-0.00794274017439769,-0.0123843843955165,-0.00477287771046176,0.867767358553,-0.0338796969217114,-0.01097680552938,-0.00792406650438549,-0.000958099058286108,-0.0173355778163102
"8",-0.0643368367165613,-0.0196111047539801,-0.0923734248420649,-0.0368302508982822,-0.0367371289867623,-0.00409357619916263,NA,0.929716990634516,-0.0231889951631145,NA,-0.014121022649498,-0.0166326909474364
"9",NA,NA,NA,-0.0337920892128498,-0.0467552882620018,-0.0468002098946445,-0.0145249051475263,-0.00849888363244073,0.941666141499097,NA,-0.00385195339805004,-0.00525048557344448
"10",-0.0716255948193704,NA,-0.0100409721935913,NA,NA,-0.0565658613000882,NA,-0.00046452995368923,-0.0218184731996555,0.981017054549166,0.000490540818269998,0.00463462124840088
"11",NA,-0.0481312633228721,-0.0659638413095393,-0.0698017354398735,-0.0670722958767344,-0.0173888230946622,NA,-0.0146595165508592,-0.0321619737599685,-0.0162409077345248,0.989059550185861,-0.0227060604874008
"12",-0.0154321385870935,-0.0849255112535065,-0.0239687674451669,-0.069070663810226,-0.0385820445624721,-0.0465524749341575,-0.0400399154019364,-0.0385039863551578,-0.00957558014959059,-0.001484067220061,-0.00317369628963603,0.980698020965804
