"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0299791562967035,0.0427693387775257,0.00711971174751742,0.0438090691368676,0.0267141254850231,0.00125326297669131,0.0147510340991132,0.0296427269060477,0.022386096510172,0.0080444032567383,NA,0.0133686493124982
"2",NA,0.0314956315107437,NA,0.00671332878209493,NA,NA,NA,0.00572684482418103,NA,NA,NA,NA
"3",0.0181545990226464,0.0342393711406506,0.00607366604167292,0.0290641573618691,0.016585247864339,0.00648141182686879,0.00231607112905801,0.00629928908880788,NA,0.0051592658434727,0.00133454784743113,0.00408595961579889
"4",NA,0.0294797659395827,0.00558867867301656,0.0320850339831983,0.0170268880910487,0.00817783177639,NA,0.0182355040350214,0.0119988874477714,0.00535705071949163,0.00407190675947642,0.00829986934184853
"5",0.0172710262831208,0.0258621732082084,0.00402560529156886,0.0364682811080709,0.0163798218595662,0.000426997202948316,0.00321192363586842,0.0139017909419529,0.0088141173676809,0.00328085685254854,0.00232670001091971,0.00668954366248451
"6",NA,0.0336384533219883,0.00293987950329979,0.0339890995425624,NA,0.00861882379171643,0.0126045313202357,0.0155038152231145,0.00616170837872099,0.00450170115329147,NA,NA
"7",0.0163127026492713,NA,0.005290009322367,0.0316063426469603,0.0132760114821196,0.00758416843847654,0.0135699784697405,0.0161096099169024,NA,0.00544082906032484,0.00398242212303502,0.00653570888682835
"8",NA,0.0304455336407913,0.0054432827429564,0.0334094763839771,0.0155991295343607,0.0030046134886046,NA,0.0181599603432625,NA,0.00551710597876004,NA,NA
"9",0.0166555958192785,0.03647133726727,0.00517501969432319,NA,0.0171013842526064,0.0084620818452295,0.0128013299810353,0.0178437682754519,0.0130720261982516,0.00165368696506407,0.00472589413970963,0.00622507937686854
"10",0.01770441879959,0.0332741176488902,0.00414290712112297,0.0317934237424818,0.0160266347182598,0.00414689737246108,NA,0.0184399798933123,0.00363183774526395,0.00530123411351857,0.0026364303134614,0.00671127579391057
"11",0.0151665779741963,0.0348217150605261,NA,NA,NA,NA,0.0175826351940814,0.0176434246115898,0.006358850798133,0.00551378284912284,0.00492539816766601,0.00869551750686203
"12",0.00861580818396342,NA,NA,NA,0.00942243768184388,0.00934817053740996,NA,0.0060506623243868,0.00843617381755563,NA,NA,0.00781099178314695
