"","Species","Site","Nstar","Nstar_prime","LNstar","LNstar_prime","DeltaN","DeltaLN"
"1",1,1,9.27684789363567,10.6402165813475,2.22752182246424,2.36464083909613,1.36336868771178,0.137119016631884
"2",2,1,2.67906124700885,3.12563043528028,0.98546645219321,1.13963600213142,0.446569188271426,0.154169549938208
"3",3,1,0.205467705854739,0.233469735265425,-1.58246640652042,-1.45470282369804,0.0280020294106862,0.127763582822389
"4",4,1,2.60392418565913,2.88478431056249,0.95701960935226,1.0594501347952,0.280860124903362,0.102430525442939
"5",5,1,0.11925713548317,0.124277674707445,-2.12647331466695,-2.085236904743,0.00502053922427473,0.0412364099239464
"6",6,1,0.382719215835866,0.40187693400111,-0.960453676585869,-0.911609371557391,0.0191577181652443,0.0488443050284783
"7",7,1,0.236735649169164,0.243569755582301,-1.44081116472291,-1.41235190692048,0.00683410641313728,0.0284592578024276
"8",8,1,0.253358023971477,0.268181397837413,-1.37295167607378,-1.31609166983379,0.014823373865936,0.0568600062399922
"9",9,1,0.089339552909064,0.0894949641956646,-2.41531096744651,-2.41357292125454,0.000155411286600612,0.00173804619196494
"10",10,1,0.0004546689041493,0.000463491978722408,-7.6959410870916,-7.67672147899289,8.82307457310727e-06,0.0192196080987115
"11",11,1,0.00158274006243627,0.00274624761618687,-6.44859771722898,-5.89751980229064,0.0011635075537506,0.551077914938344
"12",12,1,0.00618266814676903,0.00651859999391548,-5.0860053617256,-5.03309565095985,0.000335931847146446,0.0529097107657472
"13",1,2,5.99515818533584,6.17787486380686,1.79095217434252,1.82097433916125,0.182716678471023,0.0300221648187355
"14",2,2,2.59144038880532,3.41277915004491,0.952213855799739,1.22752695937642,0.821338761239589,0.275313103576683
"15",3,2,0.557713143591682,0.566226273340056,-0.583910528369839,-0.568761504448995,0.00851312974837426,0.0151490239208442
"16",4,2,3.24262094701383,4.62866949936225,1.17638193705679,1.53226946165232,1.38604855234841,0.355887524595537
"17",5,2,0.14513768293532,0.223003021000778,-1.93007244960214,-1.50056996052509,0.0778653380654572,0.42950248907705
"18",6,2,0.253822316143848,0.288219200478071,-1.37112079949855,-1.24403397557455,0.0343968843342226,0.127086823923996
"19",7,2,0.187251975908722,0.254916304513536,-1.67530010439097,-1.36682000529287,0.0676643286048144,0.308480099098098
"20",8,2,0.360230271341731,0.424803321466552,-1.02101180940021,-0.856128990190079,0.0645730501248206,0.164882819210127
"21",9,2,0.171648668373019,0.177105093433797,-1.76230551691209,-1.7310119743935,0.00545642506077781,0.0312935425185918
"22",10,2,0.00476231223856164,0.00635675205896724,-5.34702196428044,-5.05823771462517,0.0015944398204056,0.288784249655263
"23",11,2,0.00133898333456266,0.00326595972634236,-6.61584465853229,-5.72420161569717,0.0019269763917797,0.89164304283512
"24",12,2,0.00191468920699127,0.00259320984677854,-6.25819996351996,-5.95485884751711,0.000678520639787272,0.303341116002851
"25",1,3,6.45296603567711,7.3295643948628,1.86453987560142,1.99191608641954,0.876598359185694,0.127376210818119
"26",2,3,3.05199526221079,4.15940200194944,1.11579556106543,1.42537131440883,1.10740673973866,0.309575753343403
"27",3,3,0.453717332497666,0.512325387429521,-0.790280890490307,-0.668795333478138,0.0586080549318553,0.121485557012169
"28",4,3,3.18850285167882,3.58830644184025,1.15955148113654,1.27768034797436,0.399803590161425,0.11812886683782
"29",5,3,0.109038465260748,0.11157192787275,-2.21605456670439,-2.19308580303589,0.00253346261200152,0.0229687636685085
"30",6,3,0.362167261400836,0.389870102830529,-1.0156491257991,-0.941941665003776,0.0277028414296934,0.0737074607953232
"31",7,3,0.287271073427975,0.308590733953776,-1.24732900227064,-1.17573936557718,0.021319660525801,0.0715896366934594
"32",8,3,0.233361774989321,0.27014237114373,-1.45516534722379,-1.3088061584255,0.0367805961544089,0.146359188798288
"33",9,3,0.0643220363177464,0.0644031558646585,-2.74385299544362,-2.74259264296289,8.11195469120202e-05,0.00126035248073553
"34",10,3,8.18296602399514e-05,9.40022254368153e-05,-9.41087078545668,-9.27219210111478,1.21725651968639e-05,0.138678684341905
"35",11,3,0.00232816634062845,0.00357149789572597,-6.06267429950554,-5.63477019255437,0.00124333155509752,0.427904106951177
"36",12,3,0.0010790379185714,0.00131646503832975,-6.83168545099609,-6.63280513590941,0.000237427119758349,0.198880315086686
"37",1,4,7.18890442324692,8.81880464737991,1.97253878505273,2.17688633332607,1.62990022413299,0.204347548273345
"38",2,4,4.20051864507093,5.68282223989782,1.43520800458709,1.73744798255388,1.48230359482689,0.302239977966792
"39",3,4,0.32176255189145,0.3723012858293,-1.13394142194919,-0.988051844364333,0.0505387339378497,0.145889577584852
"40",4,4,3.29884096060989,4.60387044496622,1.19357118272121,1.52689735079521,1.30502948435633,0.333326168073996
"41",5,4,0.123062338827164,0.14640047457872,-2.09506423226643,-1.92140943580225,0.0233381357515569,0.173654796464171
"42",6,4,0.301568815516379,0.373017705226384,-1.19875704502314,-0.986129393369985,0.0714488897100053,0.212627651653155
"43",7,4,0.29212598499065,0.353700226979897,-1.23057011431656,-1.03930554104092,0.0615742419892464,0.19126457327564
"44",8,4,0.407059207589846,0.498372624508233,-0.898796630926017,-0.696407239766555,0.091313416918387,0.202389391159462
"45",9,4,0.137918734187154,0.138165182449053,-1.98109064998623,-1.97930533535899,0.000246448261899068,0.00178531462724441
"46",10,4,0.00292028572025033,0.00328744596824519,-5.83607381808809,-5.71764431712809,0.000367160247994866,0.118429500960001
"47",11,4,0.000168341284401888,0.00146338361212078,-8.68951718440189,-6.52700398207317,0.00129504232771889,2.16251320232873
"48",12,4,0.0190929270728113,0.0236683337495204,-3.95843732283537,-3.74361725296914,0.00457540667670909,0.214820069866228
