"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.101404713639886,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.0959658333511611,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.0946829911028101,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.0938091326978396,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0958997857656228,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.10323717785384,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.0976204637475343,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.0958116407070933,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.0933258620934734,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0987122329183438,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0973744031716689,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0947015702980001
