"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.334677680395544,0,0.0407982751727104,0,0,0,0,0,0,0,0,0
"2",0,0.214205361390486,0,0,0,0,0,0.18256003963761,0,0,0,0
"3",0.140107911545783,0,0.36245532585308,0,0.0551412858534604,0.0682761709205806,0,0,0,0,0,0
"4",0,0,0,0.274850661028177,0.137009166041389,0.137889426900074,0.179217300983146,0,0,0,0,0
"5",0,0,0.0356931876391172,0.0475310214795172,0.317553636571392,0,0,0,0.0227486445568502,0.0177198124118149,0.1700901044067,0
"6",0,0,0.0724682215601206,0.0827951627783477,0,0.399947407562286,0,0,0,0,0,0.0811686713248491
"7",0,0,0,0.169977053441107,0,0,0.310109309758991,0,0,0,0,0.0388829001691192
"8",0,0.0435282626654953,0,0,0,0,0,0.29997676438652,0,0,0,0.0382006437983364
"9",0,0,0,0,0.0994974623434246,0,0,0,0.338845487171784,0.144419356621802,0,0
"10",0,0,0,0,0.0189923998434097,0,0,0,0.00925090773962438,0.836590273911133,0,0
"11",0,0,0,0,0.0456128315534443,0,0,0,0,0,0.959609562903643,0
"12",0,0,0,0,0,0.13418448199518,0.00112717803567648,0.157630230858922,0,0,0,0.893496838770807
