"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.593460248609152,0,-0.0691999391317186,0,0,0,0,0,0,0,0,0
"2",0,NA,0,0,0,0,0,-0.0519239764150007,0,0,0,0
"3",0.0936551219786676,0,0.878029144730786,0,-0.0177540506018416,-0.0707864910569426,0,0,0,0,0,0
"4",0,0,0,0.0356638205823168,-0.00503557036106786,-0.0528707662680663,-0.0792521856652592,0,0,0,0,0
"5",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0
"6",0,0,NA,-0.0258545729617776,0,0.916956578891088,0,0,0,0,0,-0.0018303410632252
"7",0,0,0,0.0337433020108534,0,0,0.896667105645736,0,0,0,0,-0.00547653400017901
"8",0,-0.00956111001037245,0,0,0,0,0,0.896350687390484,0,0,0,-0.0194501143686448
"9",0,0,0,0,NA,0,0,0,0.992028000449809,-0.0143873622436165,0,0
"10",0,0,0,0,-0.00242350680835769,0,0,0,0.00899687820122431,0.96779592762522,0,0
"11",0,0,0,0,-0.00406305306207463,0,0,0,0,0,0.980517280404172,0
"12",0,0,0,0,0,-0.0289549161391284,-0.0433446339912748,-0.0133016958101261,0,0,0,0.985766712136571
