"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.404192781614063,0,0.0240300801309287,0,0,0,0,0,0,0,0,0
"2",0,-0.0164606831904813,0,0,0,0,0,0.00141325341777304,0,0,0,0
"3",0.0499171896031055,0,0.956997491820804,0,0.00651546762200304,0.00100113076866637,0,0,0,0,0,0
"4",0,0,0,0.0857171193667786,0.0101568059767482,-0.00109129650335641,0.000403598355114762,0,0,0,0,0
"5",0,0,0.00516841546073529,0.122814547329334,0.977014156352801,0,0,0,0.00134224911627684,NA,NA,0
"6",0,0,NA,0.101806175584319,0,0.994816532790653,0,0,0,0,0,0.0193869506030651
"7",0,0,0,0.115228895305051,0,0,0.967049172287322,0,0,0,0,NA
"8",0,0.00313026622689121,0,0,0,0,0,0.993576344300517,0,0,0,0.00778989843739669
"9",0,0,0,0,0.00749634092861277,0,0,0,0.989421054295201,0.00721729936008647,0,0
"10",0,0,0,0,NA,0,0,0,NA,0.999521969558857,0,0
"11",0,0,0,0,0.0151489209635951,0,0,0,0,0,1.00205674156667,0
"12",0,0,0,0,0,0.0321632912225892,0.0380298024773272,0.00749595586867041,0,0,0,0.997351919623242
