"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-0.581172263165524,0,-0.0621486541056166,0,0,0,0,0,0,0,0,0
"2",0,-0.03681455113968,0,0,0,0,0,-0.0154842692713961,0,0,0,0
"3",0.028428898508959,0,0.896770047484565,0,-0.0162877058924437,-0.0401257223009822,0,0,0,0,0,0
"4",0,0,0,-0.0377431823404375,-0.0541825689981926,-0.0331071476296133,-0.0407400044029868,0,0,0,0,0
"5",0,0,-0.0422934536228775,-0.00626414453061743,0.857900578135708,0,0,0,-0.0311206702698135,-0.003359085908517,-0.00846984494362391,0
"6",0,0,NA,0.0204017517069019,0,0.942063931393807,0,0,0,0,0,-0.0169380123587888
"7",0,0,0,-0.00658091059458536,0,0,0.885963068522061,0,0,0,0,-0.0066211623618258
"8",0,-0.0972712485197745,0,0,0,0,0,0.891951086559338,0,0,0,-0.019592810743889
"9",0,0,0,0,-0.0129116748181772,0,0,0,0.956772887515052,NA,0,0
"10",0,0,0,0,-0.0238633321905387,0,0,0,-0.00776063471355719,0.98701179123232,0,0
"11",0,0,0,0,-0.00848626864147332,0,0,0,0,0,0.985715920799527,0
"12",0,0,0,0,0,-0.00904465837170371,-0.00278959841268288,-0.0154501278148204,0,0,0,0.97835351543508
