"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.31059539476568,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.0923592870380744,0,0,0,0,0,0,0,0,0,0
"3",0,0,0.0969098259809359,0,0,0,0,0,0,0,0,0
"4",0,0,0,0.0906630045191729,0,0,0,0,0,0,0,0
"5",0,0,0,0,0.0945571216895557,0,0,0,0,0,0,0
"6",0,0,0,0,0,0.0872615692076755,0,0,0,0,0,0
"7",0,0,0,0,0,0,0.0887327955060853,0,0,0,0,0
"8",0,0,0,0,0,0,0,0.0884647875490293,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.091211181891579,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.0911695407704404,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.0920794232456387,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.0958009115577614
