"","raw_correl","signif_correl","diag_correl","upperD_correl","lowerD_correl","nonDiag_correl"
"1",0.986391210213557,0.987605767766156,0.987833897610076,0.611740755806159,0.621898300069634,0.613879000091382
"2",0.985622962960165,0.986927198239065,0.989802641762156,0.700981416218888,0.868389573826318,0.790133124755135
"3",0.99048687680191,0.991398144046783,0.992154783650194,0.662657999949445,0.596256038696963,0.621235375869668
"4",0.989536742145232,0.990794675241926,0.992449215695787,0.494117754779208,0.749033955231259,0.67310847831946
"5",0.987015462673273,0.988164618062046,0.990087647037065,0.669190461939133,0.740125157130655,0.722179587174501
"6",0.983085851616055,0.985161918100514,0.986315032944853,0.275445530937463,0.131038133035156,0.151863476137641
"7",0.989578724433295,0.993196353141055,0.995797328402148,0.974499670055808,0.736736539972193,0.813679110888432
"8",0.979123507883825,0.980698648956013,0.984478078337144,0.227856282771448,0.596348205437708,0.432636912504467
"9",0.966491634020767,0.967026149904168,0.963601424317761,0.201694276673665,0.0100742828745726,0.145451629236169
"10",0.988577226020932,0.990372377021055,0.99123137700496,0.764467404355364,0.589272986021384,0.655930050944585
"11",0.988041133194631,0.990107310239387,0.992206250401788,0.767778163526252,0.782908835554043,0.777590419661104
"12",0.984295237501767,0.9866407385309,0.984626932477615,0.197134656036014,0.0252596872086874,0.0739440229876843
"13",0.988503071046628,0.990008260238347,0.988365161360592,0.758410704968015,0.622821939997242,0.668435996116297
"14",0.971362671805679,0.973217053760439,0.982699800413679,-0.0669900176288742,0.478875404442847,0.163091760140719
"15",0.985691425101102,0.988180564298419,0.990548372843239,0.160255057466333,0.355382219603433,0.289398979784058
"16",0.9829189454739,0.984404339134655,0.988180352659852,0.706848182754958,0.312595431185647,0.443529501736073
"17",0.982310625461724,0.983971135677938,0.98866293222237,0.658132591152879,0.65264150449463,0.645497358039173
"18",0.989093842920429,0.990266824308318,0.991122382749541,0.485389044626336,0.279896009076219,0.337945418701829
"19",0.980580538237803,0.981131175565343,0.986120060251159,0.515300161231157,0.459827520667548,0.479327679164431
